id,brewery_id,name,cat_id,style_id,abv,ibu,srm,upc,filepath,descript,add_user,last_mod
1,812,Hocus Pocus,11,116,4.5,0.0,0.0,0,"","Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.

Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.",0,2010-07-22 20:00:20 UTC
2,264,Grimbergen Blonde,-1,-1,6.699999809265137,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
3,779,Widdershins Barleywine,-1,-1,9.100000381469727,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
4,287,Lucifer,-1,-1,8.5,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
5,1056,Bitter,-1,-1,4.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
6,1385,Winter Warmer,1,13,5.199999809265137,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
7,1099,Winter Welcome 2007-2008,-1,-1,6.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
8,1099,Oatmeal Stout,3,42,5.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
9,501,Espresso Porter,-1,-1,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
10,545,Chocolate Stout,3,42,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
11,742,Hitachino Nest Real Ginger Brew,-1,-1,7.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
12,779,JuJu Ginger,-1,-1,4.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
13,545,The Kidd Lager,7,86,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
14,1099,Imperial Stout,3,42,7.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
15,1315,Oak-Aged Belgian Tripel,-1,-1,9.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
16,168,Ultrablonde,-1,-1,8.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
17,1023,Wiesen Edel Weisse,4,50,6.199999809265137,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
18,39,Old Foghorn 2001,-1,-1,10.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
19,196,Framboise,-1,-1,6.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
20,483,Cow Palace Scotch Ale 1998,1,15,8.699999809265137,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
21,1142,Bigfoot 2001,-1,-1,9.600000381469727,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
22,1142,Bigfoot 2002,-1,-1,9.600000381469727,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
23,1142,Bigfoot 2003,-1,-1,9.600000381469727,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
24,1142,Bigfoot 2004,-1,-1,9.600000381469727,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
25,1142,Bigfoot 2005,-1,-1,9.600000381469727,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
26,1220,Winter Ale,1,13,5.900000095367432,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
27,878,Full Moon Winter Ale,5,72,5.599999904632568,0.0,0.0,0,"",This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.,0,2010-07-22 20:00:20 UTC
28,935,Odell IPA,3,31,7.0,0.0,0.0,0,"","We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.",0,2010-07-22 20:00:20 UTC
29,1271,Ornery Amber Lager,8,95,0.0,0.0,0.0,0,"",Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.,0,2010-07-22 20:00:20 UTC
30,935,Cutthroat Porter,2,25,4.800000190734863,0.0,0.0,0,"","Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities.",0,2010-07-22 20:00:20 UTC
31,1271,Maple Nut Brown Ale Ale,3,38,0.0,0.0,0.0,0,"",Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.,0,2010-07-22 20:00:20 UTC
32,1271,Cocoa Porter,-1,-1,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
33,190,Jenlain Blonde,-1,-1,7.5,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
34,196,Blonde,-1,-1,7.5,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
35,432,Flemish Primitive Wild Ale (Demon Fish),-1,-1,9.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
36,294,Witkap-Pater Tripel,-1,-1,7.5,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
37,1175,Winter Cheer,3,38,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
38,743,Canaster Winter Scotch,-1,-1,8.699999809265137,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
39,1307,16,-1,-1,10.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
40,1307,Quelque Chose,5,70,8.0,0.0,0.0,0,"","Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70ÂºC (160ÂºF), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts.",0,2010-07-22 20:00:20 UTC
41,277,Kriek,-1,-1,7.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
42,170,BiÃ¨re Darbyste,11,116,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
43,723,Maracaibo Especial,3,38,7.5,0.0,0.0,0,"","A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!",0,2010-07-22 20:00:20 UTC
44,432,Flemish Primitive Wild Ale (Pin Head),-1,-1,9.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
45,723,Calabaza Blanca,5,72,4.800000190734863,0.0,0.0,0,"","Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.",0,2010-07-22 20:00:20 UTC
46,901,Porter,2,25,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
47,901,Cardinal Pale Ale,3,26,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
48,176,Zinnebir Xmas,-1,-1,6.599999904632568,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
49,974,Bridal Ale 2005,-1,-1,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
50,176,Zinnebir,3,26,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
51,432,Saison Imperiale,-1,-1,8.5,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
52,170,La Moneuse,-1,-1,8.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
53,901,Red Sled Winter Ale,-1,-1,0.0,0.0,0.0,0,"","",0,2010-07-22 20:00:20 UTC
